,dt,sunrise,sunset,pressure,humidity,weather,speed,deg,gust,clouds,pop,rain,temp.day,temp.min,temp.max,temp.night,temp.eve,temp.morn,feels_like.day,feels_like.night,feels_like.eve,feels_like.morn
0,1624878000,1624850954,1624908354,1013,64,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.53,275,9.92,53,0.98,13.34,297.9,288.08,301.3,290.84,296.58,291.72,298.1,291.2,297.15,291.93
1,1624964400,1624937384,1624994746,1012,54,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",7.25,278,14.27,46,1.0,29.98,296.65,287.03,297.67,287.03,287.58,288.44,296.47,287.01,287.61,288.53
2,1625050800,1625023816,1625081137,1016,89,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.83,196,5.52,100,0.98,10.63,287.07,285.69,290.8,285.69,289.1,286.82,286.84,285.48,289.05,286.78
3,1625137200,1625110251,1625167524,1017,58,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.53,256,7.71,89,0.74,1.18,293.53,285.72,294.71,286.25,290.93,286.58,293.14,286.02,290.88,286.49
4,1625223600,1625196687,1625253909,1017,47,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.81,322,2.94,11,0.58,0.61,296.81,283.97,296.81,287.38,291.98,287.48,296.46,287.23,292.11,287.29
5,1625310000,1625283126,1625340292,1014,54,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.79,272,3.25,100,0.86,1.2,297.74,284.96,298.2,288.85,293.96,288.1,297.66,288.96,294.08,287.97
6,1625396400,1625369566,1625426672,1015,98,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",3.36,241,6.83,100,1.0,28.14,288.94,287.58,288.94,287.58,287.96,288.48,289.13,287.66,288.06,288.65
7,1625482800,1625456009,1625513049,1020,68,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",2.46,237,2.5,98,1.0,12.97,293.26,286.83,293.77,289.17,291.88,287.13,293.1,289.23,292.08,287.14
8,1625569200,1625542453,1625599424,1020,73,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",1.63,357,2.31,72,1.0,10.71,295.25,287.58,295.25,288.7,292.91,289.25,295.42,288.77,293.29,289.4
9,1625655600,1625628900,1625685796,1019,56,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.44,66,6.01,16,0.83,0.14,298.01,286.48,298.99,290.07,294.83,289.33,298.01,290.25,295.14,289.46
10,1625742000,1625715348,1625772166,1018,52,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",2.71,64,5.59,2,0.0,,299.28,287.48,300.12,291.08,296.09,290.49,299.28,291.33,296.5,290.63
11,1625828400,1625801798,1625858533,1016,51,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.68,83,1.84,0,0.1,,301.36,288.29,302.11,292.72,297.87,291.68,301.94,293.03,298.38,291.83
12,1625914800,1625888250,1625944898,1017,53,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.26,113,1.72,42,0.39,0.58,302.6,289.89,302.96,293.43,298.74,292.75,303.84,293.84,299.34,293.06
13,1626001200,1625974704,1626031260,1018,43,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",1.35,158,1.54,7,0.01,,303.73,289.66,304.58,294.99,300.15,292.9,303.95,295.16,301.92,292.78
14,1626087600,1626061159,1626117620,1017,48,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",2.35,37,5.06,0,0.28,0.23,305.05,291.89,305.44,294.81,299.97,295.04,306.87,295.36,302.09,295.3
15,1626174000,1626147616,1626203978,1014,42,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",3.95,160,7.98,69,1.0,5.28,305.09,291.45,305.09,291.45,293.58,295.81,305.7,291.79,294.08,296.14
